#t(s)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.539683	26.859375	290.724133	5.014566E-6	41.000082	59.200000	703.028372	NA	NA
0.545400	26.884902	290.099672	4.840766E-6	41.000039	59.300000	703.032357	NA	NA
0.546850	26.856748	290.099672	4.875513E-6	41.000039	59.300000	703.023210	NA	NA
0.548117	26.831909	290.724133	4.930881E-6	41.000051	59.200000	703.019446	NA	NA
0.549783	26.868467	290.724133	4.962073E-6	41.000051	59.200000	703.031326	NA	NA
0.551267	26.878796	290.099672	4.947977E-6	41.000012	59.300000	703.030374	NA	NA
0.552950	26.867153	290.099672	4.835479E-6	40.999988	59.300000	703.026591	NA	NA
0.554533	26.856749	290.724133	4.801473E-6	40.999984	59.200000	703.027518	NA	NA
0.556567	26.865398	290.724133	4.872978E-6	40.999938	59.200000	703.030329	NA	NA
0.558283	26.874610	290.724133	4.950728E-6	40.999984	59.200000	703.033322	NA	NA
0.559950	26.852328	290.724133	4.965258E-6	40.999988	59.200000	703.026082	NA	NA
0.561617	26.897484	290.099672	4.961023E-6	40.999977	59.300000	703.036445	NA	NA
0.563050	26.825739	290.099672	4.946678E-6	41.000020	59.300000	703.013134	NA	NA
0.565117	26.876071	290.724133	4.880645E-6	41.000059	59.200000	703.033796	NA	NA
0.566283	26.880408	290.099672	4.888343E-6	41.000066	59.300000	703.030897	NA	NA
0.568050	26.855908	290.099672	4.912889E-6	41.000047	59.300000	703.022937	NA	NA
0.569950	26.891436	290.099672	4.964856E-6	40.999996	59.300000	703.034480	NA	NA
0.571550	26.838240	290.724133	4.985012E-6	41.000000	59.200000	703.021504	NA	NA
0.573033	26.879864	290.724133	4.929243E-6	40.999988	59.200000	703.035029	NA	NA
0.574950	26.853305	290.724133	4.860488E-6	41.000020	59.200000	703.026399	NA	NA
0.576300	26.863017	290.724133	4.868588E-6	41.000039	59.200000	703.029555	NA	NA
0.578233	26.870608	290.724133	4.915084E-6	41.000027	59.200000	703.032021	NA	NA
0.579633	26.900118	290.724133	4.958518E-6	41.000020	59.200000	703.041609	NA	NA
0.581733	26.858923	290.099672	4.945101E-6	41.000004	59.300000	703.023917	NA	NA
0.583200	26.852116	290.099672	4.892763E-6	41.000035	59.300000	703.021705	NA	NA
0.584950	26.860444	290.099672	4.865219E-6	41.000023	59.300000	703.024411	NA	NA
0.586533	26.842436	290.099672	4.850565E-6	41.000031	59.300000	703.018560	NA	NA
0.588450	26.838692	290.724133	4.914187E-6	41.000051	59.200000	703.021651	NA	NA
0.589700	26.837514	290.099672	4.952799E-6	41.000031	59.300000	703.016960	NA	NA
0.591400	26.833367	290.724133	4.943463E-6	41.000031	59.200000	703.019921	NA	NA
0.593283	26.881739	290.724133	4.914280E-6	41.000023	59.200000	703.035638	NA	NA
0.594950	26.855141	290.724133	4.838231E-6	41.000020	59.200000	703.026996	NA	NA
0.596683	26.863243	290.724133	4.796249E-6	41.000039	59.200000	703.029628	NA	NA
0.598333	26.871428	290.099672	4.867568E-6	41.000039	59.300000	703.027980	NA	NA
0.599683	26.867873	290.724133	4.985538E-6	41.000031	59.200000	703.031133	NA	NA
0.601633	26.821513	290.724133	4.970389E-6	41.000047	59.200000	703.016068	NA	NA
0.602983	26.851080	290.724133	4.928315E-6	41.000070	59.200000	703.025676	NA	NA
0.604767	26.913822	290.099672	4.872762E-6	41.000078	59.300000	703.041752	NA	NA
0.606400	26.893242	290.099672	4.856408E-6	41.000098	59.300000	703.035067	NA	NA
0.608100	26.918604	290.099672	4.886240E-6	41.000121	59.300000	703.043306	NA	NA
0.609617	26.878830	290.724133	4.930541E-6	41.000105	59.200000	703.034693	NA	NA
0.611217	26.839104	290.099672	5.012959E-6	41.000098	59.300000	703.017477	NA	NA
0.613183	26.880104	290.099672	4.942567E-6	41.000074	59.300000	703.030799	NA	NA
0.614550	26.872187	290.099672	4.850442E-6	41.000078	59.300000	703.028226	NA	NA
0.616367	26.874292	290.099672	4.817240E-6	41.000109	59.300000	703.028910	NA	NA
0.617917	26.916446	290.099672	4.840827E-6	41.000086	59.300000	703.042605	NA	NA
0.619633	26.799631	290.099672	4.883149E-6	41.000137	59.300000	703.004649	NA	NA
0.621283	26.879038	290.724133	4.931592E-6	41.000144	59.200000	703.034760	NA	NA
0.622933	26.897571	290.099672	4.922225E-6	41.000129	59.300000	703.036473	NA	NA
0.625033	26.879694	290.724133	4.883334E-6	41.000090	59.200000	703.034973	NA	NA
0.626367	26.853314	290.724133	4.837736E-6	41.000082	59.200000	703.026402	NA	NA
0.627950	26.861162	290.724133	4.813870E-6	41.000086	59.200000	703.028952	NA	NA
0.629650	26.874888	290.724133	4.867197E-6	41.000055	59.200000	703.033412	NA	NA
0.631267	26.885724	290.724133	4.949894E-6	41.000051	59.200000	703.036932	NA	NA
0.633017	26.837306	290.724133	4.978830E-6	41.000039	59.200000	703.021201	NA	NA
0.634583	26.889851	290.099672	4.894278E-6	41.000043	59.300000	703.033965	NA	NA
0.636367	26.888798	290.099672	4.853904E-6	41.000039	59.300000	703.033623	NA	NA
0.637917	26.890770	290.099672	4.857397E-6	41.000086	59.300000	703.034264	NA	NA
0.639650	26.885663	290.099672	4.894247E-6	41.000109	59.300000	703.032605	NA	NA
0.641317	26.879921	290.099672	4.941979E-6	41.000113	59.300000	703.030739	NA	NA
0.642950	26.868461	290.724133	4.984950E-6	41.000117	59.200000	703.031324	NA	NA
0.644583	26.847150	290.724133	4.912363E-6	41.000098	59.200000	703.024399	NA	NA
0.646467	26.831068	290.724133	4.858078E-6	41.000090	59.200000	703.019173	NA	NA
0.647933	26.869092	290.724133	4.850658E-6	41.000094	59.200000	703.031529	NA	NA
0.649683	26.876871	290.099672	4.893474E-6	41.000059	59.300000	703.029748	NA	NA
0.651233	26.863590	290.724133	4.974347E-6	41.000051	59.200000	703.029741	NA	NA
0.653000	26.845321	290.724133	5.010702E-6	41.000035	59.200000	703.023805	NA	NA
0.654683	26.872552	290.099672	4.952459E-6	41.000074	59.300000	703.028345	NA	NA
0.656267	26.876488	290.099672	4.873535E-6	41.000078	59.300000	703.029624	NA	NA
0.658083	26.871051	290.099672	4.831089E-6	41.000090	59.300000	703.027857	NA	NA
0.659600	26.913941	290.099672	4.834397E-6	41.000094	59.300000	703.041791	NA	NA
0.661267	26.852547	290.724133	4.894804E-6	41.000082	59.200000	703.026153	NA	NA
0.663067	26.854697	290.724133	4.952336E-6	41.000070	59.200000	703.026851	NA	NA
0.664567	26.927882	290.099672	4.956478E-6	41.000039	59.300000	703.046320	NA	NA
0.666267	26.849172	290.099672	4.920865E-6	41.000035	59.300000	703.020748	NA	NA
0.667933	26.839725	290.724133	4.844073E-6	41.000047	59.200000	703.021987	NA	NA
0.669700	26.888024	290.724133	4.867909E-6	41.000035	59.200000	703.037680	NA	NA
0.671383	26.894627	290.099672	4.954592E-6	41.000023	59.300000	703.035517	NA	NA
0.672933	26.872573	290.724133	4.975584E-6	41.000023	59.200000	703.032660	NA	NA
0.674600	26.839953	290.724133	4.941361E-6	41.000035	59.200000	703.022061	NA	NA
0.676400	26.835198	290.099672	4.875142E-6	41.000070	59.300000	703.016207	NA	NA
0.677900	26.922339	290.099672	4.838199E-6	41.000098	59.300000	703.044519	NA	NA
0.679600	26.895017	290.099672	4.870722E-6	41.000133	59.300000	703.035643	NA	NA
0.681267	26.872675	290.724133	4.966062E-6	41.000121	59.200000	703.032693	NA	NA
0.683083	26.856464	290.724133	4.982724E-6	41.000117	59.200000	703.027426	NA	NA
0.684567	26.857373	290.724133	4.975892E-6	41.000117	59.200000	703.027721	NA	NA
0.686317	26.873275	290.724133	4.914651E-6	41.000102	59.200000	703.032888	NA	NA
0.688000	26.823969	290.724133	4.854708E-6	41.000102	59.200000	703.016866	NA	NA
0.689600	26.901471	290.099672	4.868836E-6	41.000125	59.300000	703.037740	NA	NA
0.691433	26.881730	290.724133	4.906582E-6	41.000129	59.200000	703.035635	NA	NA
0.692900	26.868454	290.724133	5.002541E-6	41.000125	59.200000	703.031321	NA	NA
0.694717	26.908239	290.099672	4.943340E-6	41.000137	59.300000	703.039939	NA	NA
0.696233	26.906084	290.099672	4.866826E-6	41.000141	59.300000	703.039239	NA	NA
0.698150	26.878886	290.099672	4.847629E-6	41.000148	59.300000	703.030403	NA	NA
0.699567	26.902804	290.724133	4.852729E-6	41.000152	59.200000	703.042481	NA	NA
0.701300	26.876364	290.724133	4.866054E-6	41.000160	59.200000	703.033891	NA	NA
0.702983	26.879941	290.724133	4.903120E-6	41.000172	59.200000	703.035054	NA	NA
0.704600	26.850998	290.724133	4.930479E-6	41.000195	59.200000	703.025650	NA	NA
0.706233	26.906133	290.099672	4.900090E-6	41.000219	59.300000	703.039255	NA	NA
0.707917	26.867578	290.099672	4.838045E-6	41.000238	59.300000	703.026729	NA	NA
0.709600	26.913520	290.099672	4.801720E-6	41.000207	59.300000	703.041655	NA	NA
0.711350	26.841312	290.724133	4.861694E-6	41.000188	59.200000	703.022502	NA	NA
0.712917	26.903880	290.099672	4.941917E-6	41.000188	59.300000	703.038523	NA	NA
0.714617	26.849861	290.099672	4.966494E-6	41.000199	59.300000	703.020972	NA	NA
0.716267	26.861669	290.724133	4.877956E-6	41.000180	59.200000	703.029117	NA	NA
0.717883	26.892988	290.724133	4.857923E-6	41.000184	59.200000	703.039292	NA	NA
0.721883	26.849614	290.724133	4.928841E-6	41.000176	59.200000	703.025200	NA	NA
0.722950	26.842171	290.724133	4.968349E-6	41.000176	59.200000	703.022781	NA	NA
0.724283	26.898623	290.724133	4.991318E-6	41.000180	59.200000	703.041123	NA	NA
0.725667	26.908399	290.099672	4.993142E-6	41.000180	59.300000	703.039991	NA	NA
0.726517	26.881754	290.099672	4.993142E-6	41.000188	59.300000	703.031335	NA	NA
0.727933	26.896558	290.099672	4.857088E-6	41.000184	59.300000	703.036144	NA	NA
0.729683	26.859653	290.099672	4.847907E-6	41.000168	59.300000	703.024154	NA	NA
0.731267	26.888908	290.724133	4.897493E-6	41.000180	59.200000	703.037967	NA	NA
0.732950	26.862535	290.724133	4.981272E-6	41.000191	59.200000	703.029398	NA	NA
0.734650	26.866614	290.724133	5.016050E-6	41.000211	59.200000	703.030724	NA	NA
0.736267	26.873676	290.099672	4.946709E-6	41.000203	59.300000	703.028710	NA	NA
0.737983	26.877260	290.724133	4.853347E-6	41.000246	59.200000	703.034182	NA	NA
0.739567	26.850898	290.724133	4.822495E-6	41.000238	59.200000	703.025617	NA	NA
0.741317	26.930479	290.724133	4.841414E-6	41.000219	59.200000	703.051471	NA	NA
0.742933	26.877782	290.724133	4.906087E-6	41.000180	59.200000	703.034352	NA	NA
0.744700	26.886873	290.724133	4.955118E-6	41.000133	59.200000	703.037306	NA	NA
0.746267	26.900221	290.724133	4.939846E-6	41.000129	59.200000	703.041642	NA	NA
0.748000	26.913957	290.724133	4.900090E-6	41.000168	59.200000	703.046104	NA	NA
0.749600	26.920080	290.099672	4.832913E-6	41.000172	59.300000	703.043785	NA	NA
0.751283	26.870895	290.099672	4.858541E-6	41.000180	59.300000	703.027806	NA	NA
0.753050	26.884442	290.099672	4.945658E-6	41.000176	59.300000	703.032208	NA	NA
0.754600	26.897294	290.724133	4.984085E-6	41.000168	59.200000	703.040691	NA	NA
0.756283	26.852429	290.724133	4.979107E-6	41.000176	59.200000	703.026114	NA	NA
0.757983	26.848860	290.099672	4.939970E-6	41.000215	59.300000	703.020647	NA	NA
0.759567	26.850116	290.724133	4.890723E-6	41.000180	59.200000	703.025363	NA	NA
0.761267	26.891191	290.724133	4.869608E-6	41.000176	59.200000	703.038709	NA	NA
0.762983	26.850350	290.099672	4.936229E-6	41.000168	59.300000	703.021131	NA	NA
0.764467	26.920521	290.099672	4.980591E-6	41.000113	59.300000	703.043928	NA	NA
0.766300	26.891843	290.724133	4.992216E-6	41.000109	59.200000	703.038921	NA	NA
0.767900	26.874953	290.724133	4.927604E-6	41.000117	59.200000	703.033433	NA	NA
0.769683	26.853537	290.099672	4.848649E-6	41.000066	59.300000	703.022167	NA	NA
0.771233	26.883684	290.099672	4.833810E-6	41.000051	59.300000	703.031962	NA	NA
0.773200	26.855941	290.099672	4.879409E-6	41.000078	59.300000	703.022948	NA	NA
0.774550	26.852518	290.724133	4.977685E-6	41.000113	59.200000	703.026143	NA	NA
0.776700	26.866560	290.724133	4.927326E-6	41.000164	59.200000	703.030706	NA	NA
0.777883	26.901949	290.099672	4.840549E-6	41.000191	59.300000	703.037895	NA	NA
0.779717	26.875451	290.099672	4.820980E-6	41.000238	59.300000	703.029287	NA	NA
0.781300	26.891385	290.724133	4.841044E-6	41.000254	59.200000	703.038772	NA	NA
0.782883	26.855451	290.724133	4.861509E-6	41.000277	59.200000	703.027097	NA	NA
0.784783	26.847153	290.724133	4.898452E-6	41.000281	59.200000	703.024400	NA	NA
0.786250	26.889558	290.724133	4.931499E-6	41.000285	59.200000	703.038178	NA	NA
0.788017	26.853619	290.724133	4.909241E-6	41.000277	59.200000	703.026501	NA	NA
0.789800	26.858842	290.724133	4.852977E-6	41.000277	59.200000	703.028198	NA	NA
0.791317	26.869311	290.099672	4.815261E-6	41.000332	59.300000	703.027292	NA	NA
0.792900	26.906177	290.099672	4.870350E-6	41.000367	59.300000	703.039269	NA	NA
0.794650	26.902754	290.099672	4.960281E-6	41.000367	59.300000	703.038157	NA	NA
0.796267	26.892700	290.099672	4.987176E-6	41.000414	59.300000	703.034891	NA	NA
0.797967	26.885341	290.099672	4.939444E-6	41.000387	59.300000	703.032500	NA	NA
0.799667	26.891659	290.099672	4.885931E-6	41.000367	59.300000	703.034553	NA	NA
0.801283	26.903586	290.099672	4.867383E-6	41.000359	59.300000	703.038427	NA	NA
0.802933	26.864389	290.724133	4.898854E-6	41.000363	59.200000	703.030001	NA	NA
0.804600	26.876795	290.724133	4.940465E-6	41.000344	59.200000	703.034032	NA	NA
0.806300	26.883215	290.724133	4.979015E-6	41.000352	59.200000	703.036117	NA	NA
0.807933	26.854867	290.724133	4.988289E-6	41.000352	59.200000	703.026907	NA	NA
0.809567	26.833446	290.099672	4.847350E-6	41.000320	59.300000	703.015638	NA	NA
0.811283	26.870732	290.099672	4.832759E-6	41.000293	59.300000	703.027754	NA	NA
0.812917	26.902422	290.099672	4.861261E-6	41.000270	59.300000	703.038049	NA	NA
0.814600	26.888551	290.724133	4.906829E-6	41.000281	59.200000	703.037851	NA	NA
0.816217	26.871509	290.724133	4.950481E-6	41.000277	59.200000	703.032314	NA	NA
0.818050	26.871656	290.724133	4.923616E-6	41.000289	59.200000	703.032362	NA	NA
0.819617	26.865010	290.724133	4.834892E-6	41.000309	59.200000	703.030203	NA	NA
0.821633	26.862096	290.724133	4.846392E-6	41.000379	59.200000	703.029256	NA	NA
0.822933	26.888561	290.724133	4.853007E-6	41.000340	59.200000	703.037854	NA	NA
0.824633	26.890280	290.724133	4.900894E-6	41.000344	59.200000	703.038413	NA	NA
0.826250	26.865795	290.724133	4.945565E-6	41.000375	59.200000	703.030458	NA	NA
0.827983	26.892457	290.099672	4.940928E-6	41.000383	59.300000	703.034812	NA	NA
0.829683	26.898526	290.724133	4.908004E-6	41.000394	59.200000	703.041092	NA	NA
0.831233	26.903808	290.099672	4.852637E-6	41.000402	59.300000	703.038499	NA	NA
0.832933	26.870192	290.724133	4.876502E-6	41.000406	59.200000	703.031886	NA	NA
0.834567	26.853517	290.099672	4.963712E-6	41.000387	59.300000	703.022160	NA	NA
0.836233	26.890889	290.099672	4.983961E-6	41.000406	59.300000	703.034302	NA	NA
0.837967	26.874921	290.099672	4.970204E-6	41.000406	59.300000	703.029115	NA	NA
0.839617	26.850256	290.724133	4.947575E-6	41.000383	59.200000	703.025409	NA	NA
0.841217	26.913801	290.099672	4.896504E-6	41.000371	59.300000	703.041746	NA	NA
0.842933	26.891459	290.724133	4.864786E-6	41.000375	59.200000	703.038796	NA	NA
0.844567	26.835151	290.724133	4.915949E-6	41.000379	59.200000	703.020500	NA	NA
0.846383	26.884586	290.099672	4.973512E-6	41.000359	59.300000	703.032255	NA	NA
0.847883	26.871873	290.099672	5.006529E-6	41.000320	59.300000	703.028124	NA	NA
0.849733	26.880304	290.099672	4.955087E-6	41.000281	59.300000	703.030864	NA	NA
0.851300	26.890416	290.724133	4.877646E-6	41.000266	59.200000	703.038457	NA	NA
0.852883	26.829463	290.724133	4.859530E-6	41.000266	59.200000	703.018652	NA	NA
0.854900	26.855725	290.099672	4.885746E-6	41.000238	59.300000	703.022878	NA	NA
0.856217	26.887461	290.099672	4.970637E-6	41.000219	59.300000	703.033189	NA	NA
0.858033	26.887159	290.724133	4.932983E-6	41.000203	59.200000	703.037399	NA	NA
0.859567	26.894178	290.099672	4.860922E-6	41.000219	59.300000	703.035371	NA	NA
0.861267	26.901904	290.099672	4.839220E-6	41.000207	59.300000	703.037881	NA	NA
0.862967	26.882486	290.099672	4.840673E-6	41.000219	59.300000	703.031572	NA	NA
0.864617	26.904771	290.099672	4.845495E-6	41.000211	59.300000	703.038812	NA	NA
0.866283	26.831344	290.724133	4.886210E-6	41.000195	59.200000	703.019263	NA	NA
0.867900	26.896130	290.724133	4.899565E-6	41.000203	59.200000	703.040313	NA	NA
0.869700	26.872106	290.724133	4.877461E-6	41.000234	59.200000	703.032508	NA	NA
0.871250	26.814250	290.724133	4.830780E-6	41.000285	59.200000	703.013708	NA	NA
0.872950	26.850047	290.724133	4.809511E-6	41.000293	59.200000	703.025341	NA	NA
0.874800	26.863558	290.724133	4.873194E-6	41.000281	59.200000	703.029731	NA	NA
0.876250	26.893166	290.724133	4.951099E-6	41.000246	59.200000	703.039350	NA	NA
0.878033	26.912426	290.099672	4.966742E-6	41.000258	59.300000	703.041299	NA	NA
0.879600	26.889197	290.099672	4.909859E-6	41.000258	59.300000	703.033753	NA	NA
0.881433	26.862392	290.724133	4.880645E-6	41.000293	59.200000	703.029352	NA	NA
0.882883	26.883285	290.724133	4.881789E-6	41.000270	59.200000	703.036140	NA	NA
0.884633	26.928307	290.099672	4.916846E-6	41.000270	59.300000	703.046458	NA	NA
0.886233	26.903280	290.099672	4.939599E-6	41.000262	59.300000	703.038328	NA	NA
0.887933	26.900100	290.099672	4.964640E-6	41.000238	59.300000	703.037295	NA	NA
0.889683	26.870044	290.099672	4.990268E-6	41.000211	59.300000	703.027530	NA	NA
0.891200	26.887882	290.099672	4.884787E-6	41.000203	59.300000	703.033325	NA	NA
0.893050	26.885352	290.099672	4.849885E-6	41.000203	59.300000	703.032504	NA	NA
0.894583	26.924109	290.724133	4.862344E-6	41.000164	59.200000	703.049402	NA	NA
0.896283	26.847949	290.724133	4.917681E-6	41.000156	59.200000	703.024659	NA	NA
0.897950	26.897165	290.724133	4.971688E-6	41.000148	59.200000	703.040649	NA	NA
0.899617	26.933391	290.724133	4.945534E-6	41.000172	59.200000	703.052417	NA	NA
0.901267	26.913107	290.724133	4.868063E-6	41.000160	59.200000	703.045828	NA	NA
0.902950	26.865074	290.724133	4.832882E-6	41.000109	59.200000	703.030223	NA	NA
0.904667	26.903736	290.724133	4.858850E-6	41.000074	59.200000	703.042784	NA	NA
0.906267	26.872739	290.724133	4.916753E-6	41.000082	59.200000	703.032714	NA	NA
0.907917	26.904106	290.099672	4.950697E-6	41.000082	59.300000	703.038596	NA	NA
0.909567	26.856375	290.724133	4.937898E-6	41.000047	59.200000	703.027397	NA	NA
0.911217	26.876397	290.724133	4.901327E-6	41.000039	59.200000	703.033902	NA	NA
0.912967	26.919282	290.724133	4.838601E-6	41.000000	59.200000	703.047834	NA	NA
0.914600	26.887485	290.724133	4.803854E-6	40.999996	59.200000	703.037504	NA	NA
0.916317	26.873429	290.099672	4.948224E-6	41.000000	59.300000	703.028630	NA	NA
0.917900	26.822610	290.724133	4.980498E-6	41.000012	59.200000	703.016425	NA	NA
0.919550	26.857023	290.724133	4.967082E-6	40.999957	59.200000	703.027607	NA	NA
0.921300	26.877782	290.724133	4.937126E-6	40.999953	59.200000	703.034352	NA	NA
0.922933	26.826985	290.724133	4.893876E-6	40.999977	59.200000	703.017846	NA	NA
0.924633	26.927695	290.724133	4.879872E-6	41.000004	59.200000	703.050567	NA	NA
0.926283	26.867788	290.724133	4.943772E-6	41.000031	59.200000	703.031105	NA	NA
0.928067	26.867728	290.724133	4.977995E-6	41.000016	59.200000	703.031085	NA	NA
0.929567	26.854395	290.724133	4.982538E-6	40.999996	59.200000	703.026754	NA	NA
0.931583	26.881695	290.099672	4.913847E-6	40.999988	59.300000	703.031316	NA	NA
0.932883	26.872127	290.724133	4.854955E-6	40.999988	59.200000	703.032515	NA	NA
0.934550	26.889668	290.099672	4.866703E-6	40.999965	59.300000	703.033906	NA	NA
0.936500	26.921351	290.099672	4.909798E-6	40.999961	59.300000	703.044198	NA	NA
0.937883	26.859667	290.724133	4.986310E-6	40.999980	59.200000	703.028467	NA	NA
0.940083	26.880625	290.724133	4.925903E-6	41.000016	59.200000	703.035276	NA	NA
0.941533	26.856867	290.724133	4.851554E-6	41.000031	59.200000	703.027557	NA	NA
0.943217	26.884599	290.724133	4.834582E-6	41.000016	59.200000	703.036567	NA	NA
0.944900	26.831065	290.724133	4.846763E-6	41.000016	59.200000	703.019172	NA	NA
0.946517	26.879117	290.724133	4.864477E-6	41.000016	59.200000	703.034786	NA	NA
0.948250	26.859445	290.724133	4.902904E-6	41.000012	59.200000	703.028394	NA	NA
0.949700	26.854430	290.099672	4.889424E-6	41.000016	59.300000	703.022457	NA	NA
0.951750	26.871621	290.099672	4.877862E-6	41.000047	59.300000	703.028043	NA	NA
0.953083	26.824297	290.724133	4.849267E-6	41.000055	59.200000	703.016973	NA	NA
0.954667	26.872098	290.724133	4.819929E-6	41.000055	59.200000	703.032505	NA	NA
0.956417	26.863760	290.724133	4.867723E-6	41.000078	59.200000	703.029796	NA	NA
0.958433	26.855965	290.099672	4.926368E-6	41.000051	59.300000	703.022956	NA	NA
0.959550	26.898963	290.724133	4.932427E-6	41.000062	59.200000	703.041234	NA	NA
0.961233	26.871418	290.099672	4.835819E-6	41.000043	59.300000	703.027976	NA	NA
0.962800	26.880190	290.099672	4.802679E-6	41.000035	59.300000	703.030826	NA	NA
0.964567	26.853937	290.099672	4.868928E-6	41.000043	59.300000	703.022297	NA	NA
0.966333	26.861025	290.724133	4.943123E-6	41.000082	59.200000	703.028908	NA	NA
0.967883	26.899739	290.724133	4.960744E-6	41.000055	59.200000	703.041486	NA	NA
0.969717	26.849099	290.724133	4.934467E-6	41.000078	59.200000	703.025033	NA	NA
0.971233	26.845453	290.724133	4.876750E-6	41.000078	59.200000	703.023848	NA	NA
0.972983	26.882504	290.724133	4.834614E-6	41.000086	59.200000	703.035886	NA	NA
0.974567	26.863828	290.724133	4.956076E-6	41.000102	59.200000	703.029818	NA	NA
0.976267	26.876667	290.099672	4.991535E-6	41.000059	59.300000	703.029682	NA	NA
0.977900	26.917679	290.099672	4.974780E-6	41.000055	59.300000	703.043005	NA	NA
0.979633	26.911520	290.724133	4.945287E-6	41.000027	59.200000	703.045313	NA	NA
0.981233	26.899119	290.724133	4.899317E-6	41.000039	59.200000	703.041284	NA	NA
0.982933	26.881021	290.099672	4.867352E-6	41.000055	59.300000	703.031096	NA	NA
0.984550	26.835981	290.099672	4.927357E-6	41.000070	59.300000	703.016462	NA	NA
0.986483	26.863924	290.099672	4.962228E-6	41.000066	59.300000	703.025542	NA	NA
0.987867	26.890588	290.099672	4.983899E-6	41.000047	59.300000	703.034205	NA	NA
0.989650	26.866139	290.099672	4.934869E-6	41.000047	59.300000	703.026261	NA	NA
0.991250	26.873203	290.099672	4.881264E-6	41.000051	59.300000	703.028557	NA	NA
0.992917	26.878864	290.099672	4.869021E-6	41.000066	59.300000	703.030396	NA	NA
0.994633	26.864208	290.724133	4.879842E-6	41.000016	59.200000	703.029942	NA	NA
0.996300	26.847130	290.724133	4.979942E-6	40.999996	59.200000	703.024393	NA	NA
0.998033	26.882250	290.724133	4.951006E-6	41.000000	59.200000	703.035804	NA	NA
0.999567	26.866917	290.099672	4.872731E-6	41.000000	59.300000	703.026514	NA	NA
1.001217	26.826932	290.724133	4.834953E-6	41.000000	59.200000	703.017829	NA	NA
1.002933	26.883613	290.724133	4.835912E-6	40.999992	59.200000	703.036247	NA	NA
1.004567	26.867258	290.724133	4.862375E-6	40.999945	59.200000	703.030933	NA	NA
1.006350	26.837059	290.724133	4.887198E-6	40.999910	59.200000	703.021120	NA	NA
1.009783	26.854878	290.099672	4.857057E-6	40.999844	59.300000	703.022602	NA	NA
1.010933	26.819072	290.099672	4.857057E-6	40.999867	59.300000	703.010967	NA	NA
1.012583	26.836448	290.099672	4.837581E-6	40.999922	59.300000	703.016614	NA	NA
1.014067	26.863500	290.724133	4.838138E-6	40.999914	59.200000	703.029712	NA	NA
1.014900	26.897941	290.099672	4.898173E-6	40.999918	59.300000	703.036594	NA	NA
1.016217	26.838533	290.099672	4.941732E-6	40.999887	59.300000	703.017291	NA	NA
1.017967	26.846349	290.724133	4.927295E-6	40.999887	59.200000	703.024139	NA	NA
1.019550	26.865022	290.099672	4.856624E-6	40.999883	59.300000	703.025898	NA	NA
1.021383	26.890213	290.099672	4.832666E-6	40.999867	59.300000	703.034083	NA	NA
1.022950	26.856027	290.099672	4.886766E-6	40.999856	59.300000	703.022976	NA	NA
1.024617	26.861243	290.099672	4.949368E-6	40.999895	59.300000	703.024671	NA	NA
1.026267	26.916998	290.099672	4.966309E-6	40.999856	59.300000	703.042784	NA	NA
1.027933	26.892779	290.099672	4.973481E-6	40.999844	59.300000	703.034916	NA	NA
1.029600	26.920066	290.099672	4.954160E-6	40.999844	59.300000	703.043781	NA	NA
1.031283	26.868663	290.724133	4.855604E-6	40.999816	59.200000	703.031389	NA	NA
1.033067	26.853335	290.724133	4.883767E-6	40.999816	59.200000	703.026409	NA	NA
1.034567	26.877682	290.724133	4.932179E-6	40.999844	59.200000	703.034320	NA	NA
1.036233	26.893854	290.724133	4.984023E-6	40.999840	59.200000	703.039574	NA	NA
1.037933	26.910361	290.724133	4.998120E-6	40.999844	59.200000	703.044936	NA	NA
1.039567	26.891312	290.099672	4.932643E-6	40.999856	59.300000	703.034440	NA	NA
1.041267	26.890166	290.724133	4.853008E-6	40.999859	59.200000	703.038376	NA	NA
1.042883	26.874590	290.724133	4.871649E-6	40.999832	59.200000	703.033315	NA	NA
1.044600	26.887523	290.724133	4.909055E-6	40.999852	59.200000	703.037517	NA	NA
1.046250	26.889607	290.099672	4.945102E-6	40.999879	59.300000	703.033886	NA	NA
1.048000	26.897656	290.099672	4.906675E-6	40.999875	59.300000	703.036501	NA	NA
1.049550	26.893144	290.724133	4.844506E-6	40.999875	59.200000	703.039343	NA	NA
1.051217	26.919882	290.724133	4.846392E-6	40.999906	59.200000	703.048029	NA	NA
1.053033	26.871283	290.724133	4.844816E-6	40.999910	59.200000	703.032241	NA	NA
1.055083	26.864388	290.724133	4.883953E-6	40.999887	59.200000	703.030001	NA	NA
1.056300	26.850647	290.724133	4.935271E-6	40.999871	59.200000	703.025536	NA	NA
1.057933	26.891768	290.724133	4.949553E-6	40.999856	59.200000	703.038896	NA	NA
1.059567	26.939080	290.724133	4.938424E-6	40.999848	59.200000	703.054265	NA	NA
1.061200	26.902864	290.724133	4.888065E-6	40.999816	59.200000	703.042501	NA	NA
1.062883	26.843139	290.724133	4.837087E-6	40.999797	59.200000	703.023096	NA	NA
1.064617	26.850182	290.724133	4.861076E-6	40.999844	59.200000	703.025385	NA	NA
1.066233	26.913202	290.724133	4.972121E-6	40.999840	59.200000	703.045859	NA	NA
1.068333	26.903829	290.724133	4.973697E-6	40.999895	59.200000	703.042814	NA	NA
